rank,icp_fit,department,name,city,email,phone,website,apprentice_signal,size_signal,source_url,notes
11,high,91,Clinique Vétérinaire de Palaiseau (les Alfanels),Palaiseau,,01 60 10 21 62,https://www.vetopalaiseau.fr,,Team page: 4 vets + 5 ASV = ~9 staff. Serves Palaiseau/Champlan/Massy.,https://www.vetopalaiseau.fr/equipe,"Independent (single SIRET 45182986500463), not part of any excluded group. enrich email via website; address 58 rue de Paris, 91120 Palaiseau."
12,high,91,Clinique vétérinaire de la Glacière (Drs Dubois et Troyano),Montgeron,,01 69 03 86 73,https://www.cliniqueveterinairedelaglaciere.fr,,Team page: 4 vets + 4 ASV = ~8 staff. Multidisciplinary; offers orthopedic surgery.,https://www.cliniqueveterinairedelaglaciere.fr/Clinique,"Independent founder-led (Drs Dubois & Troyano). A Gmail appeared in a third-party directory but was NOT on the clinic's own pages, so left blank. Address 112/114 rue de la Glacière, 91230 Montgeron."
13,high,91,Clinique Vétérinaire de la Chalouette,Étampes,contact@chalouette.vet,01 64 94 41 84,https://www.chalouette.vet,,"4 vets named, '30+ years', surgery facilities; listing indicates 6-9 staff (tranche d'effectif).",https://www.chalouette.vet/,"Email seen literally on the fetched homepage. Independent. Address 16 rue des Belles Croix, 91150 Étampes. Vet names came from search snippets, not the homepage — confirm team page when enriching."
14,high,92,CVA — Cliniques Vétérinaires Associées (groupe indépendant 5 sites),"Clamart (siège) + Châtillon, Montrouge, Antony, Le Plessis-Robinson",,01 46 31 65 05,https://www.vet92.fr,,"Team roster page: 19 vétérinaires (5 associés + 14) and 26 ASV across 5 sites. CVA Clamart 4.6/5 on Google, 344 reviews. Surgery, radio, écho, Sunday hospi/urgences centralised at Clamart.",https://www.vet92.fr/a-propos/equipe,"Independent multi-site group, NOT Sevetys/IVC/Mon Veto/Univet/AniCura/Argos/NovaVet. A 3rd-party snippet suggested contact@vet92.fr but NOT seen on a fetched official page, so left blank. Best fit in 92; treat as a group account."
15,high,92,Clinique Vétérinaire du Pont de Neuilly (SCP Bedossa & Benaim),Neuilly-sur-Seine,cvpn92@gmail.com,01 46 24 08 34,https://www.cliniqueveterinairepontdeneuilly.com,,Team page names 9 vets (4 chirurgiens + 5 généralistes) and 5 ASV. Surgical practice. Solidly mid-size independent.,https://www.cliniqueveterinairepontdeneuilly.com/,"Independent SCP, no corporate affiliation. Email seen literally on the fetched site. Strong fit: multiple vets + ASV, surgery."
16,high,92,Clinique Vétérinaire Mairie d'Issy,Issy-les-Moulineaux,vetoissy@gmail.com,01 46 44 12 50,https://cliniqueveterinairemairiedissy.com,,"3 vets named + 4 ASV. Well-equipped: digital radio w/ AI, in-house lab, ultrasound, dedicated surgery suite, climate-controlled hospi, visiting cardiologist. A real clinique.",https://cliniqueveterinairemairiedissy.com/,"Independent, no chain affiliation. Email seen literally on fetched site. Distinct from vetoissy.fr (different clinic/address). 7-person clinical team + imaging/hospi."
17,high,93,Clinique Vétérinaire du Pré,Le Pré-Saint-Gervais,clinvetdupre@orange.fr,01 48 45 90 95,https://cliniqueveterinairedupre.com,,"Directory (veterinaires.org / pagesjaunes) states 14 vets + 8 ASV with on-site 24/7 emergency; 5 vets named. ~406-425 Google reviews. Largest independent in 93, CHV-tier.",https://veterinaires.org/93/le-pre-saint-gervais/clinique-veterinaire-du-pre-be8,"Independent associate-owned partnership, NOT corporate. Email seen in pagesjaunes/directory; official .com site returned ECONNREFUSED so verify email before outreach. ~22 staff = upper edge of ICP."
18,high,93,Clinique Vétérinaire Vet'Aulnay (A'Croc Véto),Aulnay-sous-Bois,,01 48 66 60 50,https://www.vetoaulnay.fr,,Team page: 4 vets + 5 ASV = ~9 staff. 'Cat Friendly Clinic' certified.,https://www.vetoaulnay.fr/notre-clinique/equipe/,Independent (no corporate group on site). Ideal ICP size (4 vets + 5 ASV). enrich email via website.
19,high,93,Clinique Vétérinaire des Drs Corbin & Reboulot,Saint-Ouen-sur-Seine,,01 40 11 80 64,https://www.vetorino.com/veterinaire/saintouensurseine-93400/,,"4 vets named (Corbin & Reboulot associés, Famin & Delval salariés) + unnamed ASV team. Two-partner structure with salaried vets = mid-size.",https://www.vetorino.com/veterinaire/saintouensurseine-93400/,"Independent. Site hosted on vetorino (website provider, not a clinic group). enrich email via website; ASV count not listed by name."
20,high,93,Clinique Vétérinaire Lesson (LesVets),Rosny-sous-Bois,rosny.vet@outlook.fr,01 45 28 14 17,https://lesvets.fr,,"Site explicitly states '5 vétérinaires et 5 ASV' (~10 staff). Chiens/chats/NAC, 8am-8pm Mon-Sat with emergency cover.",https://lesvets.fr/,"Site explicitly says 'indépendante', NOT part of a corporate group. Email seen literally on fetched homepage. Address 11 rue du Quatrième Zouaves, 93110 Rosny. Best-confirmed independent in 93."
21,high,95,Clinique Vétérinaire de l'Orangerie,Soisy-sous-Montmorency,,01 39 89 34 34,https://clinvet-orangerie.com/,,"4 vets (Geay, Dahmani, Thevenet associates + Save salaried) and 4 ASV per multiple sources. Ultrasound + radiography. Founded 1993.",https://www.vetorino.com/veterinaire/soisy-sous-montmorency,"Independent associate-owned clinic, no corporate group. Own site 301-redirects to a vetorino booking page where team is listed. enrich email via website."
22,high,75,Clinique Vétérinaire Place des Fêtes,Paris (19e),contact@cliniqueplacedesfetes.com,01 42 03 51 51,https://www.cliniqueplacedesfetes.com/,,"Own website: 12 vétérinaires + 7 ASV; founded 1952; 24/7 emergency with vets on-site round-the-clock. True clinique, mid/large.",https://www.cliniqueplacedesfetes.com/,"Email seen literally on fetched homepage. Independent (no corporate group). ~19 staff, multi-vet + ASV. Address 11 Rue Henri Ribière, 75019 Paris."
23,high,75,VETINPARIS (Clinique du Dr Isabelle Pasquet),Paris (11e),,01 43 07 01 06,https://www.vetinparis.com/,Recruits 'Stagiaire ASV' and 'Stagiaire vétérinaire' per offres-d-emploi page (internships). No explicit alternance/apprentissage found.,"~16 vets + ~15 ASV named across two Paris-11 sites. Imaging, surgery, hospitalization, NAC, oncology, neuro. Mid-to-large independent.",https://www.vetinparis.com/,"Independent (Dr Pasquet, no group). A web-search snippet returned 'contact@vetinparis.fr' + a dummy phone '01 23 45 67 89' — both unverified, DISCARDED. enrich email via website. Chemin Vert site: 01 48 06 38 19."
24,high,75,UCVet — Urgences et Consultants Vétérinaires,Paris (20e),,01 71 19 70 10,https://ucvet-paris.fr/,,"18 on-site professionals; referral + daytime emergency. Listing: 12 vets (incl. specialists) + 7 ASV. CT scan, endoscopy, cardiac ultrasound. Mid-size independent.",https://ucvet-paris.fr/,"Independent, no corporate group stated. Address 175 bis rue des Pyrénées, 75020 Paris. Referral/ER focus — verify fit for a general-practice ICP. enrich email via website."
25,high,94,Clinique Michel Baron (SELARL Clinique Michel Baron),Créteil,,01 43 78 87 87,https://www.cliniquemichelbaron.fr,,"Official annuaire-entreprises (NAF 75.00Z) tranche 10-19 salariés. Founded 1993; 3+ active vets. Advanced surgical referral (orthopédie, rachis, onco-chirurgie, kiné), several ORs; shares facilities with MICEN VET.",https://www.cliniquemichelbaron.fr/clinique/presentation/1/show,"Independent SELARL, registry-confirmed 10-19 salariés, surgery-focused referral. ASV count not listed. enrich email via website."
26,high,77,Clinique Vétérinaire du Confluent,Montereau-Fault-Yonne,,01 64 32 01 41,https://www.clinique-veterinaire-du-confluent.com,,"5 vets (3 co-gérants + 2) + 5 ASV + 1 surface tech = ~11 staff. Family-run, 90% chiens/chats, CES ortho/ophtalmo/dermato. 656 Google reviews.",https://www.clinique-veterinaire-du-confluent.com/,"Independent (3 co-managing vets, no corporate group). 11-person team = mid-size sweet spot. enrich email via website."
27,high,77,Clinique Vétérinaire du Lys,Dammarie-les-Lys,,01 64 39 81 72,https://www.vetodulys.fr,,"Homepage states '4 vétérinaires et 5 ASV' (9 pros). Operating since 1985. Medicine, surgery, radiology, ultrasound, chatterie/chenil. ~194 reviews.",https://www.vetodulys.fr/,"Independent — legal entity 'SAS Mittelberg', no corporate group. 9-person team squarely mid-size. An aggregator listed contact@vetodulys.fr but it was NOT on the clinic's own page, so left empty per anti-fabrication."
28,medium,77,Clinique Vétérinaire EXOVET (SELARL EXOVET),Courtry,,01 64 21 65 84,https://www.clinique-veterinaire-exovet.fr,,Independent SELARL (Dr Cavoizy since 2005); 'notre équipe de vétérinaires et d'auxiliaires'. 220-251 Google reviews. Effectif tranche 6-9 employees (2022) — lower edge. Exotic/NAC specialty.,https://www.clinique-veterinaire-exovet.fr/,"Independent SELARL, no corporate group. Team on the lower edge of 8-30 (effectif 6-9). No names/email on site. enrich email via website."
29,medium,77,Cliniques Vétérinaires Les Cerisiers (Veto77 group: Serris / Coulommiers / Crécy + Clinique du Moulin-Chelles),Serris / Coulommiers / Crécy-la-Chapelle / Chelles,,01 64 75 01 01,https://www.veto77.fr,Chelles site lists ASV Marine Lemesle as 'ASV en formation'.,"Independent multi-site group (SAS 'LES CERISIERS', SIREN 451829865) running 4 clinics in 77. Aggregated multi-vet/multi-ASV footprint; per-site teams small (Chelles ~3 named).",https://www.veto77.fr/,"Independent group (NOT Sevetys/IVC/MonVeto/Univet) but a 4-site group — borderline vs single-clinic framing. Note: same 'LES CERISIERS' RCS name appears on Persan, Evolia, Palaiseau, Bobigny across depts — likely a larger independent owner. Treat as group account. enrich email via website."
30,medium,75,Clinique Vétérinaire Zakine,Paris (20e),,01 43 56 86 12,https://cliniqueveterinaireparis.fr/,,"'Three generations of independent veterinarians', ~40 years, 'équipe dévouée', medicine + surgery. Site mentions '150+ collaborators' but that figure is ambiguous (likely network, not on-site). Team count not explicitly listed.",https://cliniqueveterinaireparis.fr/,"Explicitly 'clinique vétérinaire indépendante ne dépendant d'aucun groupe'. Address 61 Cours de Vincennes, 75020 Paris. Headcount not confirmed; verify team size for firm ICP fit."
31,medium,75,Clinique Vétérinaire Pascal Hardy,Paris (5e),,01 47 07 38 04,https://www.cvph.fr/,"Has an 'Offres d'emploi et de stage' section, indicating they take stagiaires; no explicit alternance/apprenti wording.","Team page: 4 vets + 1 temp vet, and 2 ASV. ~6-8 staff — lower end of mid-size. Founded 1971.",https://www.cvph.fr/equipe/,"Independent multi-generational family clinic, no group. Address 25 rue Pascal, 75005 Paris. On the smaller side of 8-30 — borderline but a real multi-vet clinique with ASV. enrich email via website."
32,medium,78,Clinique Vétérinaire SQYVET,Trappes,contact@sqyvet.fr,01 30 62 96 79,https://www.sqyvet.fr,"Actively trains apprentis/alternants ASV (GIPSA Apform, CFA Rambouillet) and hosts EnvA Alfort vet students. Very strong alternance signal.","Official annuaire-entreprises (NAF 75.00Z) tranche '50 à 99 salariés' (2023), SIREN 320974918. Site announces ~30 vets + ~37 ASV. Independent since 1980, 24h/24, heavy plateau technique.",https://annuaire-entreprises.data.gouv.fr/entreprise/sqyvet-clinique-veterinaire-320974918,"Size 50-99 salariés is ABOVE the 8-30 proxy, BUT strictly independent (SCP) with excellent apprenticeship signal — worth an approach despite size. Email seen on site. 8 Route de Chartres, 78190 Trappes."
33,medium,94,Clinique Vétérinaire Les Vetos du Centre (VetoCentre),Maisons-Alfort,,01 49 77 01 66,https://www.vetocentre.fr,Team page lists Cassandra as 'ASV en formation' — light apprentice/formation signal.,Own team page: 3 vets + 5 ASV = 8 staff. A 'clinique' (not cabinet).,https://www.vetocentre.fr/clinique/l-equipe,"Independent (no group affiliation shown), at the low end of the 8-30 target (8 staff). Address 22 Avenue de la République, 94700 Maisons-Alfort. enrich email via website."
34,medium,92,Clinique Vétérinaire d'Issy-les-Moulineaux (SAS Mittelberg),Issy-les-Moulineaux,,01 46 38 20 20,https://www.vetoissy.fr,Explicitly trains apprentices: 'Anna - ASV en apprentissage' and 'Olivia - Apprentie' both listed on the team page. Strong alternance signal.,Team page: 2 vets + 1 ASV titulaire (~5 incl. apprentices) — borderline cabinet/clinique.,https://www.vetoissy.fr/l-equipe,Independent (SAS Mittelberg). Below ~8-staff threshold on vets (only 2) but actively trains 2 ASV en alternance — the targeted bonus signal. Distinct from Clinique Mairie d'Issy. enrich email via website.
35,medium,94,Mavetoclinik.com,Vitry-sur-Seine,,01 46 80 96 23,https://www.mavetoclinik.com,,"Own site: explicitly 'clinique indépendante', since 1983, 230 m². 2 vets (Jimenez ortho/tissus mous, Chapelle dermato) + 3 ASV = 5 staff. Médecine, chirurgie spécialisée, imagerie, analyses.",https://www.mavetoclinik.com/,"Confirmed independent on its own site, but team (5) below the 8-30 sweet spot. Address 1 avenue de l'Abbé Roger Derry, 94400 Vitry-sur-Seine. enrich email via website."
36,medium,91,Clinique vétérinaire des Gâtines (Drs Chevaillier / Vilmouth),Savigny-sur-Orge,,01 69 44 49 08,https://www.vetdavout.fr,,Team page: 2 vets + 3 ASV = ~5 staff. 24/7 emergency cover (nights/Sundays/holidays). Verified 'Clinique' in official annuaire ROY (Le Point Vétérinaire).,https://roy.lepointveterinaire.fr/etablissements/15972/clinique-veterinaire-des-gatines,"Independent clinique, lower end (~5 staff) but in-house 24/7 urgences. Address 2 av du Mal de Lattre de Tassigny, 91600 Savigny. Phone from official ROY annuaire. enrich email via website."
37,medium,91,Clinique Vétérinaire de Brunoy centre (SELARL Ould Aoudia et associés),Brunoy,cliniquevet@orange.fr,01 60 46 96 24,https://www.cliniqueveterinairebrunoycentre.fr,,Team page: 2 vets + 2 ASV = ~4-5 staff. SELARL '...et associés' implies a partnership; surgery + radiography + hospitalisation on site.,https://www.cliniqueveterinairebrunoycentre.fr/equipe,"Email seen literally on fetched structure/equipe pages. Independent SELARL (SIREN 444646053). On the smaller side of the ICP band — stretch/medium lead. Address 7 rue Philisbourg, 91800 Brunoy."
38,medium,92,Clinique Vétérinaire du Plateau,Vanves,vetovanvesplateau@gmail.com,01 40 93 50 94,https://www.veterinairevanves.fr,,3 vets + 2 ASV named on team page. Small clinique.,https://www.veterinairevanves.fr/,"Independent, no chain affiliation. Email seen literally on fetched site. ~5-person team, lower edge of mid-size ICP."
39,medium,95,Clinique Vétérinaire des Dr Zuffellato & Dr Menké,Sannois,,01 39 80 83 63,https://www.vetorino.com/veterinaire/sannois-95110/,,"3 vets (Zuffellato + Menké associates; Sousak salaried) and 3 ASV per the clinic's own team page. ~6 staff multi-vet clinique, lower bound of mid-size.",https://www.vetorino.com/veterinaire/sannois-95110/team/,"Independent associate-owned clinic, no corporate group. Genuine multi-vet but team on the small side of 8-30. enrich email via website."
40,medium,95,Clinique Vétérinaire Evolia,L'Isle-Adam,,01 34 69 10 16,https://www.veterinaire-evolia.com/,One ASV listed as 'ASV en formation' (Catherine); training present but no formal alternance described.,"Own 'notre-equipe' page: ~41 vets (internal specialists across many disciplines) + ~31 ASV. 24/7 urgences, CT scanner, endoscopy, full lab. Large referral-scale independent hospital — ABOVE the 8-30 proxy.",https://www.veterinaire-evolia.com/notre-equipe,"Independent (RCS 'LES CERISIERS', flagship of a 2-site independent owner with Persan; NOT Sevetys/IVC/Univet/MonVéto). Rated medium ONLY because ~70 staff exceeds mid-size target; essentially a CHV-scale independent. enrich email via website."
41,low,75,Urban Vet (Clinique vétérinaire UrbanVet),Paris (6e),,01 42 22 37 47,https://www.urbanvet.fr/,,"'Totally independent structure' with imaging, lab, dedicated surgery room + physiotherapy. ~3 vets identified + a 'dedicated ASV team' (count not given). >4.5 Google rating. Smaller end.",https://www.urbanvet.fr/,"Strongly independent (SELARL X. Kassab). Likely ~3 vets + small ASV team, probably under the 8-staff proxy. Address 81 rue d'Assas, 75006 Paris. Verify headcount before prioritizing. enrich email via website."
42,low,93,Clinique Vétérinaire de la Tour,Villemomble,,01 48 54 28 23,https://www.vetotour.fr,,"Directories indicate ~3 vets (Dr Gauthier named). Site mentions 'une équipe soignante' + full consultation-to-surgery pathway, cat-dedicated waiting room.",https://www.vetotour.fr/,"Independent — SAS du Mittelberg (SIRET 79747674400116), no corporate group. ~3 vets = lower edge of ICP; names/ASV count not loaded in fetch. Address 7 Allée de la Tour, 93250 Villemomble. enrich email via website."
43,low,78,Clinique Vétérinaire des Coquelicots (Dr Brami),Saint-Germain-en-Laye,,01 34 51 90 03,https://www.cliniqueveterinairedescoquelicots.com,Trains ASV apprentices via GIPSA (2 apprenties listed on the site). Apprentice signal present.,"1 vétérinaire (Dr Brami) + 4 ASV diplômées + 2 apprenties GIPSA (~7). Pratique indépendante, SIRET 789961109 00012.",https://www.cliniqueveterinairedescoquelicots.com/clinique-veterinaire-yvelines.php,"Independent and trains apprentices (bonus signal), BUT a single vet — doesn't meet 'plusieurs vétos'/mid-size. More cabinet than mid-size clinique. Included for the alternance signal but fit weak. enrich email via website."
44,low,95,Clinique Vétérinaire Chat-Perché.Vet,Pierrelaye,chatperche.vet@gmail.com,01 34 67 00 48,https://www.chat-perche.vet/,,"Small: 1 vet (Dr Aude Rivoire) + 2 ASV. Self-described 'clinique généraliste, indépendante et de proximité'. Below mid-size proxy.",https://www.chat-perche.vet/equipe,Email seen literally on the team page (a second email accueil@chat-perche.vet appears in directory listings). Explicitly independent. Verified borderline lead but LOW: solo-vet + 2 ASV below the mid-size target.
45,low,92,Clinique Vétérinaire Roland Garros (Dr Sophie Bismuth),Boulogne-Billancourt,,01 46 89 49 49,https://dr-bismuth-veterinaire-boulogne-92.fr,,"Self-describes as 'clinique indépendante' with 24/7 medical & surgical emergency capability, but only 1 vet named; references 'notre équipe' without a roster. Team size unconfirmed.",https://dr-bismuth-veterinaire-boulogne-92.fr/,"Independent, no chain affiliation. Low-priority: only 1 vet visible so likely below mid-size, but 24/7 surgical-emergency framing suggests more than a solo cabinet — worth a quick qualification call. enrich email via website."
46,low,93,Clinique Vétérinaire de Bobigny,Bobigny,,01 48 95 28 97,https://www.veto-bobigny.com,"ASV Marie François diplômée GIPSA 2024 (recent grad on staff) — possible junior/training intake, but no explicit alternance/apprenti mention.",Team page: 2 vets + 4 ASV = ~6 staff. One recent-grad ASV (GIPSA 2024) suggests junior intake.,https://www.veto-bobigny.com/equipe,"Borderline. Team page reveals affiliation with a multi-clinic entity 'LES CERISIERS' (SIRET 45182986500117) and only 2 vets — below mid-size and not a pure single-site independent. De-prioritize. Address 2 rue de Lorraine, 93000 Bobigny."
47,low,94,Clinique Vétérinaire de Grosbois,Boissy-Saint-Léger / Marolles-en-Brie,,01 45 69 65 39,https://www.cliniqueveterinairegrosbois.fr,,"Official annuaire-entreprises (NAF 75.00Z) tranche 20-49 salariés (SAS). Own site: 'more than twenty professionals', 24/7 emergencies, multiple specialty departments.",https://www.cliniqueveterinairegrosbois.fr/fr/,"Real, independent, genuinely mid/large (20-49 salariés), BUT EQUINE-only (horses) at the Domaine de Grosbois — off the companion-animal ICP. Verified mid-size independent but rated low for this outreach. enrich email via website."
